"PING_INLINE","2460.27"
"PING_BULK","2476.78"
"SET","2535.24"
"GET","2427.01"
"INCR","2489.79"
"LPUSH","2383.90"
"RPUSH","2307.02"
"LPOP","2372.70"
"RPOP","2346.59"
"SADD","2384.70"
"HSET","2293.00"
"SPOP","2354.10"
"LPUSH (needed to benchmark LRANGE)","2353.27"
"LRANGE_100 (first 100 elements)","2010.58"
"LRANGE_300 (first 300 elements)","1664.56"
"LRANGE_500 (first 450 elements)","2020.49"
"LRANGE_600 (first 600 elements)","1992.07"
"MSET (10 keys)","1441.98"
